link,OBJECTID_1,VILLAGE,TOWN,COUNTY,VILLAGE_ID,TOWN_ID,COUNTY_ID,TV_ALL,VILLCODE,ORI_VILLAG,AREA,MAX_X,MAX_Y,MIN_X,MIN_Y,X,Y,V_ID,SORT,ID,COUNTYNAME,TOWNNAME,OBJECTID,ORIG_FID,Shape_Leng,Shape_Le_1,Shape_Area
805779,1,中山里,東區,嘉義市,61,10020010,10020,東區中山里,A2001-061-00,,230686.768164,195185.2188,2598108.1036,194071.1719,2597691.75,194698.790489,2597889.20695,10020010-061,20,,,,0,0,0,2734.72622959,230686.768164
805780,2,後驛里,西區,嘉義市,64,10020020,10020,西區後驛里,A2002-064-00,,363016.377701,193222.2344,2598067.2956,192319.188,2597159.2563,192755.694514,2597627.95419,10020020-064,20,,,,0,0,0,2617.87732943,363016.377701
805781,3,東川里,東區,嘉義市,38,10020010,10020,東區東川里,A2001-038-00,,630623.187654,196096.4115,2598008.9662,194992.9063,2596973.75,195507.483626,2597570.05209,10020010-038,20,,,,0,0,0,3891.86970356,630623.187654
805782,4,番社里,西區,嘉義市,61,10020020,10020,西區番社里,A2002-061-00,,170099.158,193545.9688,2597889,192871.9688,2597386.25,193249.6129,2597626.1298,10020020-061,20,,,,0,0,0,2021.74525556,170099.158
805783,5,中央里,東區,嘉義市,62,10020010,10020,東區中央里,A2001-062-00,,194986.924436,194169.9688,2597852,193726.75,2597264.0277,193954.045527,2597550.06708,10020010-062,20,,,,0,0,0,1812.92762477,194986.924436
805784,6,東興里,東區,嘉義市,60,10020010,10020,東區東興里,A2001-060-00,,215453.519264,195206.9844,2597836.75,194114.3594,2597456.3623,194621.2335,2597661.88654,10020010-060,20,,,,0,0,0,2658.31446466,215453.519264
805785,7,福全里,西區,嘉義市,16,10020020,10020,西區福全里,A2002-016-00,,510216.076743,192638.2374,2597827.0175,191609.578,2596972.25,192152.944053,2597428.02445,10020020-016,20,,,,0,0,0,3301.39607821,510216.076743
805786,8,港坪里,西區,嘉義市,19,10020020,10020,西區港坪里,A2002-019-00,,1272789.43022,191305.4531,2597783.811,189651.6719,2596353.25,190528.66157,2596962.3288,10020020-019,20,,,,0,0,0,5528.11766453,1272789.43022
805787,9,華南里,東區,嘉義市,59,10020010,10020,東區華南里,A2001-059-00,,234277.56,195206.9844,2597662.25,194502.2656,2597175.5999,194839.79373,2597425.6595,10020010-059,20,,,,0,0,0,2033.3520054,234277.56
805788,10,頭港里,西區,嘉義市,20,10020020,10020,西區頭港里,A2002-020-00,,2374787.69158,189964.7813,2597643.25,188106,2595631.25,189072.12858,2596484.61515,10020020-020,20,,,,0,0,0,6956.66734308,2374787.69158
